,id,uuid,creationDate,lastChangeDate,birthYear,lastNegotiation,gender,educationId,driverLicenseTypes,hasVehicle,compensation,compensationCurrencyCode,roadTimeType,businessTripReadiness,workSchedules,employments,workExperience,workExperienceMonthCount,relocation,metroStationName,resumeSpecializations,relocationAreas,languageLevels
0,4666,001b99a7-4fb9-46ac-ac42-d926fc4f27e0,2011-10-05,2021-07-05,1984.0,2021-05-24,0,1,['B'],,26000.0,RUR,2,1,"[0, 2]",[0],3,106,1,,[160],"[1, 2]","['12.34', '6.57']"
1,4292,0027dbd6-45c3-4902-ab37-a23988a80772,2015-02-03,2021-07-31,1991.0,2021-07-14,0,1,['B'],1.0,100000.0,RUR,0,1,"[0, 3, 2, 4, 1]",[0],3,106,1,,"[65, 196, 417]","[1, 2, 99]","['12.34', '6.57']"
2,3778,004d5967-152b-4d81-a285-f14aa9e0627f,2012-01-18,2021-06-16,1972.0,2018-08-27,0,1,[],,60000.0,RUR,0,1,[4],[0],3,287,1,,"[194, 216, 570]","[1, 2]","['12.34', '6.57']"
3,3445,00633057-3780-46e7-8391-feafe1bc83cd,2013-03-29,2019-02-06,1988.0,2019-02-12,1,1,[],,35000.0,RUR,1,2,[0],[0],3,149,0,Moskovskaja,"[181, 205, 264]",{},"['6.16', '12.34', '11.57']"
4,5118,007b8277-05c6-4fee-96ba-48f004e5c806,2015-11-09,2017-01-24,1993.0,2018-07-25,0,1,['B'],,40000.0,RUR,0,1,"[0, 1]","[0, 1]",1,21,0,Avtovo,"[65, 66, 149]",{},"['12.34', '6.57']"
5,5460,00807bc3-2de9-4367-8425-7dfc23cfec2e,2008-06-17,2021-04-08,1986.0,2021-04-08,0,6,['B'],1.0,50000.0,RUR,0,1,[0],[0],3,143,0,Ulitsa Dybenko,"[65, 417, 486]",{},"['12.34', '6.57']"
6,3874,008107ed-0f49-4ce9-a5d3-35fef5c014ff,2007-10-08,2017-04-13,1977.0,2021-08-23,0,1,{},,165000.0,RUR,0,1,"[0, 2, 3]","[0, 1, 2]",3,166,1,,"[120, 442, 477]","[1, 2, 145, 1008, 1020, 1051, 1061, 1090, 1103, 1118, 1124, 1146, 1174, 1192, 1261, 1308, 1317, 1342, 1384, 1414, 1438, 1481]","['12.34', '6.57']"
7,4344,008731ef-add0-4598-a8ce-e8548c251e8a,2015-10-12,2017-04-13,1994.0,2016-08-02,1,3,{},,30000.0,RUR,0,1,[0],[0],0,10,0,Prospekt Bol'shevikov,[379],{},['12.34']
8,5293,00cc9ebc-4bc4-45a7-84c3-1446104be206,2010-10-12,2020-01-27,1988.0,2020-02-03,1,1,[],,70000.0,RUR,0,1,"[0, 2, 3]","[0, 1, 4]",3,90,0,,[447],{},"['12.34', '6.57']"
9,3021,00cf5dea-9a4e-4639-991a-72c7d2c41a4b,2012-03-03,2021-08-05,1989.0,2021-09-03,1,1,['B'],1.0,40000.0,RUR,0,1,[0],[0],3,124,0,,"[43, 463, 469]",{},"['12.34', '10.57', '6.58']"
10,3455,00e5fd61-c33c-45a4-aa96-b8809da76c3b,2009-03-05,2020-11-23,,2020-09-16,1,1,[],0.0,10000.0,RUR,0,0,[3],[1],3,178,0,,"[62, 76, 218]",{},['12.34']
11,5733,00ea1c80-695c-4331-b11a-cb8e4653a822,2011-02-07,2020-10-20,1984.0,2020-07-27,0,1,[],,,,0,1,[0],[0],3,151,2,,"[82, 277, 295]","[1, 2]","['12.34', '9.57']"
12,3124,0101c614-76a3-409a-bb94-fb8edb427aba,2013-07-05,2021-09-07,1991.0,2021-08-19,1,1,[],,135000.0,RUR,0,2,"[0, 3, 2]",[0],3,128,0,,[64],{},"['12.34', '11.57', '6.59']"
13,5024,011f0592-570f-422e-b4c2-0aeb0f1aed9f,2014-01-19,2019-03-02,1990.0,2018-11-27,1,1,['B'],1.0,50000.0,RUR,1,2,[0],[0],3,91,0,,[730],{},"['12.34', '6.57']"
14,4398,0122c104-f0e6-48e6-84ff-937966e9c52a,2013-12-08,2020-10-23,1983.0,2019-03-25,0,1,[],,,RUR,1,1,"[0, 1]",[0],3,112,1,Shodnenskaja,[81],[2],"['9.17', '12.34', '10.57']"
15,3744,01a988bb-cbc2-479c-a0aa-9cd2f8165969,2010-11-12,2017-06-22,1984.0,2017-06-15,0,1,{},,120000.0,RUR,0,1,"[0, 3]",[0],3,110,0,Prospekt Bol'shevikov,"[324, 397, 625]",{},"['12.34', '6.57']"
16,4851,01ba9b7f-cc4b-443d-97c5-01f180db5f4d,2015-01-13,2018-02-12,1955.0,2015-02-09,0,1,[],,,,0,0,"[0, 1]",[0],3,172,0,Prospekt Prosveschenija,"[16, 81, 142]",{},"['12.34', '6.57']"
17,5102,01bec7c3-e6f2-4f6e-aac2-aad42412f925,2007-05-02,2021-08-04,1977.0,2020-05-12,0,1,['B'],1.0,150000.0,RUR,1,2,[0],[0],3,220,0,Prospekt Prosveschenija,"[81, 129, 431]",{},"['12.34', '9.57', '6.58']"
18,4198,01d2cecd-e788-4a33-9914-056e042e1b02,2015-01-27,2017-10-24,1988.0,2017-10-23,0,8,['B'],,,,0,0,"[0, 1, 3]",[0],3,85,0,Komendantskij prospekt,[89],{},['12.34']
19,3581,01d48228-2429-4e70-9113-77841cf77279,2015-09-11,2019-07-10,1985.0,2019-10-04,0,1,[],0.0,,,0,1,[0],[0],3,179,1,Akademicheskaja,"[348, 451, 585]","[2, 4, 90]","['12.34', '9.57']"
20,5424,01d91c2c-ba01-4f7f-b73a-530a68c83ca9,2010-12-27,2021-07-26,1969.0,2021-05-31,0,1,"['A', 'B', 'C']",1.0,100000.0,RUR,1,2,[0],[0],3,317,1,,[431],[2],"['12.34', '6.57']"
21,4016,020d8a49-f370-4bb1-b3b6-2a89cc9c3e06,2014-10-31,2017-10-02,1971.0,2017-11-14,0,1,"['B', 'C']",,,,2,1,[0],[0],3,255,1,,"[414, 416, 437]",{},"['12.34', '6.57']"
22,5908,022356fe-2474-4737-a038-21e311910174,2012-09-19,2017-03-12,1987.0,2017-03-13,1,1,{},,,,1,2,"[2, 3]","[1, 2]",3,74,0,,"[247, 319, 336]",{},"['6.16', '12.34', '6.57']"
23,5180,022a0637-36bc-4e17-a230-527f86bd1cca,2012-09-13,2017-11-29,1965.0,,1,1,[],,70000.0,RUR,0,1,[0],[0],3,134,1,,"[25, 117, 420]",[2],"['12.34', '10.57']"
24,5740,0245498c-89de-480b-8322-e13eb60dd782,2010-10-05,2021-08-12,1977.0,2021-09-07,0,1,['B'],1.0,45000.0,RUR,0,1,"[2, 3, 1]","[1, 2]",3,218,1,,"[231, 302]",[2],['12.34']
25,4485,0266fe50-096d-4c6f-88ce-d12d311f1d3a,2015-07-05,2021-09-05,1993.0,2021-09-07,0,1,[],,45000.0,RUR,2,1,[3],"[1, 2, 0]",2,40,1,Zolotaja niva,"[65, 66, 149]","[145, 1146, 1202, 1217, 1229, 1249, 1255, 2019]","['7.22', '11.30', '12.34', '6.57']"
26,4827,027707aa-77e7-4015-9c94-cb5f17d625de,2015-11-26,2017-02-20,1990.0,2017-08-09,0,1,{},,35000.0,RUR,0,1,[0],[0],3,88,1,,[312],"[2, 237, 1440, 1454, 1460]","['12.34', '6.57']"
27,3280,02854488-5227-45c0-be36-7c5ce698b548,2015-04-07,2019-10-28,1977.0,2015-04-07,1,1,[],,25000.0,RUR,1,0,"[2, 3]",[1],3,139,0,Ladozhskaja,"[47, 338, 429]",{},['12.34']
28,3112,0294fd19-1637-4e4d-9a12-8e62cebf093e,2014-10-12,2021-09-09,1981.0,2021-09-08,0,6,[],0.0,50000.0,RUR,0,1,[0],[0],3,165,0,Komendantskij prospekt,"[117, 203, 400]",{},"['12.34', '6.57']"
29,3384,02b116c6-5f10-4bbe-a5cb-e2fefa743053,2010-06-21,2019-02-08,1988.0,2014-03-18,1,1,[],,35000.0,RUR,1,2,[0],[0],1,28,0,Prospekt Veteranov,"[206, 209, 328]",{},"['12.34', '6.57']"
30,4625,02b22c91-2132-43ab-b58b-49725119fab0,2011-07-04,2020-06-03,1974.0,2020-05-20,0,1,[],,,,0,2,[0],[0],3,125,0,,"[139, 226, 289]",{},"['12.34', '6.57']"
31,5322,02c2413c-e248-4e5b-8af7-dbf50cd18dcc,2013-08-27,2020-11-24,1980.0,2013-08-28,1,1,[],,,,1,0,[3],"[1, 0]",3,155,0,Kupchino,"[43, 463, 469]",{},['12.34']
32,3336,02c33193-16a7-4798-85d4-466714345a9e,2015-01-23,2021-07-19,1992.0,2021-07-21,0,8,[],0.0,55000.0,RUR,1,1,[0],[0],2,46,0,,[130],{},"['12.34', '6.57']"
33,3918,02e879a4-390f-4b81-b496-cdf0bcf608f9,2015-03-06,2018-07-23,1989.0,2018-07-26,0,6,[],,45000.0,RUR,0,1,"[0, 1, 2, 3]","[0, 1, 2]",3,94,1,Kupchino,"[221, 395, 420]","[17, 26]","['12.34', '6.57']"
34,3267,02fbb493-5b3d-44f3-aab9-f9036208a9dc,2008-11-16,2021-05-17,1966.0,2021-02-02,0,7,[],1.0,60000.0,RUR,0,1,"[2, 1, 0]","[0, 1]",3,311,0,,[52],{},"['12.34', '6.57']"
35,4626,032e4c5d-8432-4821-85e0-b19b8f894fd7,2014-10-23,2020-09-09,1967.0,2020-08-13,1,8,[],,50000.0,RUR,0,1,[0],[0],3,366,0,Ozerki,"[70, 189]",{},['12.34']
36,3848,0343e4a6-bb69-42df-a62c-e69e7f8859ac,2009-11-10,2020-10-16,1977.0,2021-01-13,1,6,['B'],1.0,80000.0,RUR,0,1,[0],[0],3,226,0,Komendantskij prospekt,"[43, 335]",{},"['12.34', '6.57']"
37,5263,034b2ce5-12a5-4708-9f12-91c0a41c9dfc,2010-03-25,2018-03-06,1980.0,2018-03-06,0,1,[],,150000.0,RUR,0,0,[2],[0],3,153,0,,"[82, 270, 273]",{},"['12.34', '9.57']"
38,5529,038b94d8-9e78-47b0-88cd-0b0813df9304,2015-08-26,2021-04-21,1992.0,2021-08-19,1,1,['B'],1.0,60000.0,RUR,0,1,"[0, 2, 3]","[1, 2, 0]",3,105,0,,[64],{},"['12.34', '8.57']"
39,5656,03cb07ab-74ff-4ca4-a63f-f06b46788a11,2010-10-19,2018-09-10,1985.0,2018-09-11,0,1,['B'],1.0,,,1,1,"[0, 2, 3]",[0],3,135,1,Lesnaja,"[3, 10, 221]","[1, 236]","['12.34', '9.57']"
40,3433,03d542e3-5f00-453c-8cd2-e97316064b3a,2015-07-20,2021-06-09,1992.0,2021-07-27,1,1,[],0.0,65000.0,RUR,0,1,"[0, 1]",[0],3,81,0,Kupchino,[425],{},"['12.34', '6.57']"
41,4271,03e0415d-b77c-4dd0-97a4-59c842ffc9af,2010-10-08,2018-02-05,1985.0,2019-08-09,0,1,[],,45000.0,RUR,0,0,[0],"[0, 1]",3,84,0,,[20],{},"['12.34', '6.57', '6.58']"
42,4743,03eb6340-d1d8-4a10-9395-9a4517a2ffe5,2013-05-03,2021-02-01,1986.0,2021-03-16,0,1,['B'],1.0,,,0,1,"[0, 2, 1]",[0],3,148,1,,"[83, 233, 396]",[1],"['12.34', '10.57']"
43,5891,0402a5a4-6bea-40f6-acf9-48c56209d54e,2014-06-18,2019-12-22,1977.0,2020-06-10,0,1,"['B', 'C']",1.0,,,0,2,"[0, 2, 3]","[0, 1]",3,73,1,Kupchino,"[89, 270, 273]",{},"['12.34', '9.57']"
44,4989,0414f141-50f8-44c7-9c91-51d9dc484e56,2014-07-19,2017-10-25,1991.0,2019-05-24,1,1,{},,30000.0,RUR,0,1,"[0, 1, 2, 3]","[0, 1, 2]",2,59,0,,"[43, 469]",{},"['12.34', '6.57']"
45,4554,041589bd-14ec-471e-86d1-667bc6fcc183,2014-08-21,2021-08-31,1987.0,2021-09-01,0,6,[],,80000.0,RUR,0,1,"[0, 2, 1, 3]",[0],3,102,1,,[381],"[1, 2, 53, 88]","['12.34', '6.57']"
46,3471,041f19c0-a7d0-443a-856e-ea8ed086f8fd,2016-01-25,2020-10-09,1986.0,2020-10-02,0,1,['B'],0.0,,,0,1,"[2, 0, 1, 3]",[0],3,115,1,,"[427, 437, 574]",[2],"['12.34', '6.48', '9.57']"
47,5114,044b587a-74d0-456b-8659-99b5412ced28,2011-02-25,2021-08-18,1991.0,2021-08-26,1,1,['B'],,,,1,1,[0],[0],3,93,1,,"[333, 625, 751]",{},"['12.34', '8.43', '7.57']"
48,4961,0487402f-2c79-443d-a251-247104429b1f,2015-04-08,2020-08-29,1986.0,2020-09-07,0,1,['B'],1.0,50000.0,RUR,1,1,"[0, 1, 2]",[0],3,131,0,Prospekt Veteranov,"[15, 65, 324]",{},"['12.34', '6.57']"
49,5631,0492a448-71b8-401d-90e7-1020f8590f40,2013-01-14,2021-08-02,1982.0,2021-08-10,1,1,['B'],1.0,80000.0,RUR,1,2,"[3, 2, 0]","[0, 1]",3,199,0,Komendantskij prospekt,"[225, 272, 295]",{},"['12.34', '6.57']"
50,4909,04a4e7cf-aa4c-4d92-ad50-71c2484dafca,2010-09-28,2018-10-16,1983.0,2019-04-23,0,1,['B'],,90000.0,RUR,1,1,"[0, 2, 3]","[0, 1, 2]",3,155,1,,"[83, 233, 325]","[1, 2, 23, 25, 52, 66, 112]","['12.34', '9.57']"
51,3506,04cb5722-c6af-4634-bc81-910d2741824e,2013-11-27,2019-06-24,1988.0,2016-05-20,1,1,[],,45000.0,RUR,0,1,[0],[0],3,87,0,,[43],{},"['12.34', '6.57']"
52,3810,04d6d27a-b434-4c04-9935-826cdbe721f9,2014-12-19,2020-02-03,1991.0,2020-02-03,1,1,[],,60000.0,RUR,0,0,[0],[0],3,90,0,Devjatkino,"[43, 335, 463]",{},"['12.34', '6.57']"
53,4678,04e2d40b-01ee-4c78-9387-34f3e44c435f,2015-07-24,2020-04-09,1987.0,2016-06-29,0,7,['B'],,60000.0,RUR,0,0,[0],[0],3,155,0,Prospekt Veteranov,"[16, 129, 142]",{},"['12.34', '6.57']"
54,5091,04f0b37d-2d1a-472b-948c-f675b449513a,2015-08-21,2021-02-02,1993.0,2021-04-02,1,3,[],0.0,50000.0,RUR,1,2,[0],[0],1,40,0,,[362],{},"['12.34', '8.57']"
55,5962,04f93cfa-be64-4094-b4bb-abf137750330,2015-01-19,2021-09-08,1991.0,2021-09-08,0,1,['B'],0.0,60000.0,RUR,0,1,[0],[0],2,65,1,Pionerskaja,"[74, 136]",{},"['12.34', '7.57']"
56,4836,052a0833-7d92-48eb-8421-7e5eb32988cc,2012-07-18,2021-08-19,1989.0,2012-08-21,1,1,[],,,,0,0,[3],"[0, 4]",1,29,2,,[93],[2],"['12.34', '6.57']"
57,4431,052d430e-b2b7-44c0-8f83-33cb254fc6dd,2015-07-01,2017-04-11,1986.0,2017-04-10,1,1,{},,45000.0,RUR,0,1,[0],[0],3,104,0,Leninskij prospekt,"[74, 136]",{},"['12.34', '6.57']"
58,4157,052dd0bd-8289-4eae-bb87-4b26b4cf6496,2011-04-25,2021-01-28,1974.0,2021-04-12,0,1,['B'],1.0,,,0,1,"[0, 2, 3]","[1, 2, 0]",3,229,1,Perovo,"[226, 307, 532]","[2, 76, 237]","['12.34', '11.57']"
59,5979,053f9696-534b-4712-b353-2765846267ed,2011-11-07,2017-07-03,1983.0,2015-12-03,0,1,{},,,,1,1,[0],[0],3,178,1,,"[287, 325, 396]",{},"['12.34', '6.57']"
60,5710,0570054d-d80e-4786-82c1-0fab3772995d,2015-05-22,2021-08-20,1977.0,2021-08-20,1,1,['B'],0.0,80000.0,RUR,1,1,[1],[0],3,213,0,Prospekt Veteranov,"[264, 429]",{},"['12.34', '11.59']"
61,3071,0578825c-dd65-4448-875d-6e5d519b7983,2010-10-08,2017-05-01,1982.0,2010-11-01,-1,1,{},,,,0,0,[0],[0],3,104,2,,"[44, 342, 434]","[1, 2, 4, 95]","['12.34', '9.57', '6.59']"
62,5095,058f69a9-f32d-403d-a4a6-233da0fadf19,2015-10-26,2017-05-25,1982.0,2015-10-28,1,1,[],,55000.0,RUR,2,1,[0],[0],3,163,1,,"[8, 40, 209]",[1],"['12.34', '11.57']"
63,4465,05c5fc2b-6b2b-48d2-91e2-c8a1c3780d0c,2015-04-09,2021-08-25,1980.0,2021-09-09,1,1,[],0.0,80000.0,RUR,1,0,[0],[0],3,239,0,Ladozhskaja,[261],{},"['12.34', '6.57']"
64,4783,05ce242d-f828-4f81-8506-3e5f55e655e1,2015-02-04,2021-09-07,1969.0,2021-09-09,0,8,[],1.0,35000.0,RUR,0,2,[0],[0],3,383,0,Komendantskij prospekt,[482],{},['12.34']
65,3642,06067644-cfca-4cd1-b0dc-73052d56becf,2015-11-12,2020-09-12,1987.0,2020-08-04,1,3,['B'],1.0,,,1,0,"[0, 2, 3]","[0, 1]",3,156,0,Ladozhskaja,"[324, 572, 625]",{},"['12.34', '6.57']"
66,4238,060934d6-0ea0-4e91-b018-d568e48575fe,2015-11-13,2017-11-29,1984.0,2017-11-28,1,3,[],,,,0,1,"[0, 1, 2, 3]","[1, 2]",3,154,1,Devjatkino,"[247, 309]",[1],"['12.34', '10.57', '6.58']"
67,5231,060fcca6-e7a2-4f1b-90ee-75c95bd0d58d,2015-12-10,2020-01-25,1983.0,2020-01-25,0,7,"['B', 'C']",,50000.0,RUR,0,0,[0],[0],3,84,0,Kupchino,[482],{},['12.34']
68,5523,0627a0c7-52e2-4f99-aca2-395b82e36628,2015-07-02,2021-02-23,1983.0,2021-03-29,1,3,[],0.0,100000.0,RUR,1,1,"[1, 2, 3]","[2, 1]",3,151,0,,"[29, 120, 477]",{},"['12.34', '10.57', '6.59']"
69,3354,062f6978-4bbe-4a31-815f-63d78a24aa7b,2014-08-16,2019-02-21,1980.0,2020-07-12,0,1,[],,90000.0,RUR,0,1,"[0, 1, 2, 3, 4]",[0],3,132,1,Baltijskaja,"[68, 237, 320]","[1, 1146, 1308, 1342, 1368, 1438, 1481, 1530, 1553, 1586, 1880, 1946, 1975]","['12.34', '6.57']"
70,5540,0631d3a1-3c23-486e-9c52-08896137d84e,2011-03-09,2021-08-16,1978.0,2013-01-28,0,1,[],0.0,,,0,1,[0],[0],3,209,1,,[3],{},"['12.34', '9.57']"
71,3828,0645be41-518c-4e0f-86c9-83c4c70699cf,2013-02-14,2021-09-07,1992.0,2021-09-08,0,8,"['B', 'C']",0.0,80000.0,RUR,0,1,"[0, 1, 2]","[0, 1]",3,99,1,,[319],{},['12.34']
72,3763,064b2264-cfb0-4199-884e-b0f63d7f8214,2009-07-09,2021-05-19,1979.0,2021-05-31,0,1,['B'],1.0,180000.0,RUR,0,2,[0],"[0, 1]",3,231,1,Zael'tsovskaja,"[287, 325, 573]","[1, 2, 4]","['12.34', '6.57', '6.58']"
73,3183,064b43cd-4867-4884-9354-7268c00b9eb9,2015-07-22,2017-11-17,1980.0,2017-11-17,1,8,[],,40000.0,RUR,0,0,[0],[0],2,71,0,,"[256, 535]",{},['12.34']
74,4408,06579e40-c6ed-4014-9e75-629616d768dc,2007-11-01,2019-01-27,1979.0,2019-07-24,1,1,['B'],,,,0,1,[0],[0],3,195,1,,"[247, 254, 319]","[1, 2, 1438, 1716, 1754, 1859, 1913, 2019]","['12.34', '10.57']"
75,3539,067252d5-0fbf-4610-ba63-c419dcc7bf96,2013-12-19,2021-06-26,1972.0,2021-06-26,1,1,[],,,,0,0,[0],[0],1,36,0,Pionerskaja,"[463, 469]",{},['12.34']
76,5125,067c026e-940c-4670-99c6-74801e275455,2010-10-23,2021-01-11,1987.0,2021-02-13,1,8,['B'],,28000.0,RUR,0,0,[0],[0],3,142,0,Mezhdunarodnaja,[332],{},"['12.34', '6.57']"
77,5712,06845ee8-970f-47fe-b780-e9c3304ecd60,2015-01-10,2021-08-23,1988.0,2021-08-25,0,1,"['B', 'C', 'D']",0.0,,,0,1,[0],[0],3,113,1,,"[292, 482, 506]",{},['12.34']
78,4713,06a38f3b-2d9f-4116-939e-643263b81af5,2013-02-19,2021-08-25,1985.0,2021-08-26,1,1,['B'],1.0,,,0,2,"[0, 3]",[0],3,172,1,,"[50, 211, 272]","[1, 2, 4]","['12.34', '8.57', '6.58']"
79,4186,06a457fa-5257-41a3-952e-e5a6bd7b4188,2013-08-22,2017-03-19,1986.0,2017-03-20,1,1,['B'],,55000.0,RUR,0,1,[0],[0],3,101,0,Lomonosovskaja,"[8, 230, 328]",{},"['12.34', '6.57']"
80,4102,06a94a89-4aca-46c6-b214-eb3aad05ca22,2010-05-24,2019-02-20,1987.0,2019-03-29,0,1,[],,,,0,1,[0],[0],3,144,1,Prospekt Veteranov,[221],{},"['12.34', '8.57']"
81,3681,06bdb0d8-ffc0-4d49-9941-5f76b6763fa2,2010-06-21,2020-05-17,1971.0,2019-12-12,1,1,[],0.0,60000.0,RUR,0,2,"[0, 2, 3]","[0, 1]",3,153,0,,"[43, 335]",{},"['12.34', '7.57']"
82,5458,06c5b20c-dece-4348-a22b-9f090e8b846b,2011-02-16,2017-10-30,1985.0,2018-03-01,1,1,{},,,,0,1,[0],[0],3,164,1,,"[319, 336]","[1, 2]","['12.34', '10.57']"
83,4695,06feecbd-89b6-4575-9aee-b9bd558772c2,2011-09-22,2017-04-23,1984.0,2013-01-21,1,1,{},,47000.0,RUR,1,2,[0],[0],2,56,0,,"[242, 324, 417]",{},"['12.34', '6.57', '6.58']"
84,3412,073f91e4-97c9-4d73-966c-4210d8077b8a,2014-12-11,2018-06-19,1994.0,2016-07-05,1,2,[],,25000.0,RUR,0,1,[0],[0],2,52,1,,"[205, 255, 332]","[1, 2, 237]","['12.34', '6.57']"
85,3537,076aa822-88c0-4c4e-b8e9-d6fade37cba7,2009-09-18,2021-09-06,1978.0,2021-09-06,0,1,"['A', 'B', 'C']",1.0,100000.0,RUR,0,1,"[0, 1, 2, 3, 4]","[0, 1]",3,177,2,,"[57, 263, 360]","[1, 2, 1020, 1051, 1202, 1229, 1596, 1975, 2019]","['12.34', '11.57', '6.58', '6.59']"
86,5940,076e7356-4161-4e28-b80a-d7e3e24710a6,2013-05-24,2021-07-17,1987.0,2021-08-26,1,1,['B'],0.0,50000.0,RUR,0,0,[0],[0],3,149,0,,"[198, 223, 316]",{},"['12.34', '9.57']"
87,5525,07864451-4d83-489a-86b2-dbe0e7daffaa,2012-12-03,2020-11-16,1988.0,2016-05-19,0,1,[],,60000.0,RUR,0,1,[0],[0],2,54,0,,"[89, 225, 295]",{},"['12.34', '6.57']"
88,3163,0799b353-3c1f-472d-a472-5dcb3d78bcba,2013-08-20,2017-09-26,1991.0,2018-11-23,1,1,['B'],,30000.0,RUR,0,1,"[0, 4]",[0],1,18,1,Ploschad' Muzhestva,"[54, 191, 472]",{},"['12.34', '10.57']"
89,3392,079f4e60-5571-4186-956e-84870aace1de,2012-06-13,2018-08-14,1988.0,2018-05-18,1,1,['B'],0.0,180000.0,RUR,0,1,[0],[0],3,132,1,,[327],{},"['12.34', '6.57', '9.58']"
90,5671,07aa1e43-15a6-4e37-acf9-1f8b74e869b0,2010-12-23,2019-02-04,1988.0,2020-11-20,1,1,['B'],0.0,,,0,1,"[0, 2, 3]",[0],3,129,1,Mezhdunarodnaja,"[107, 319, 336]",{},"['6.16', '12.34', '10.57', '6.58']"
91,5100,07b61e48-034d-4f40-82c4-2e4177968597,2015-06-16,2020-10-12,1981.0,2020-10-19,0,1,['B'],,,,0,2,"[3, 4, 2, 0, 1]",[0],3,162,1,,"[191, 323, 472]","[1, 2, 1586, 2019]","['12.34', '6.58']"
92,5225,07bdab6b-4cee-4fb2-81a3-748b394dea33,2010-08-13,2021-07-08,1986.0,2021-08-13,0,1,['B'],1.0,80000.0,RUR,1,1,"[0, 1, 2, 3, 4]","[1, 2, 0]",3,166,1,,"[3, 110, 295]","[1, 2, 3, 88, 1438]","['12.34', '9.57']"
93,5925,07cfedf9-4583-443b-9069-6e8ca56656d8,2010-09-14,2019-02-19,1980.0,2019-08-01,1,7,[],,35000.0,RUR,1,0,"[0, 1]",[0],3,149,0,,"[17, 275, 481]",{},['12.34']
94,3374,07ddb87b-8642-4293-9ef6-7aa6c5416759,2010-09-20,2019-11-05,1985.0,2019-04-18,1,1,[],,,,0,2,[0],[0],3,131,0,Prospekt Veteranov,"[43, 425]",{},"['12.34', '6.57']"
95,4997,07fff129-58ee-4e3f-88dd-14ded4476b71,2014-06-17,2019-01-18,1986.0,2017-07-23,1,8,[],,,,0,2,"[0, 1, 3]",[0],3,80,0,Kupchino,"[220, 578]",{},"['12.34', '6.57']"
96,3641,08017e2b-e660-4e16-90d6-6a6fb11c6840,2014-09-16,2020-12-14,1988.0,2016-03-12,1,1,['B'],1.0,100000.0,RUR,1,1,"[1, 0]",[0],3,120,0,Grazhdanskij prospekt,[115],{},"['12.34', '6.57']"
97,4418,08024808-d097-4814-8de1-286b7be87864,2009-03-10,2017-08-22,1978.0,2018-03-24,1,1,{},,50000.0,RUR,0,2,[0],[0],3,124,0,,"[254, 319, 336]",{},"['12.34', '6.57']"
98,4835,08085ac6-24b0-4f71-bf3b-f22ceac87229,2012-05-15,2021-05-23,1989.0,2021-06-20,0,6,['B'],0.0,45000.0,RUR,0,1,"[0, 2, 3]","[0, 1]",3,102,1,,"[211, 270, 273]","[1, 2, 4, 88, 1240]","['12.34', '9.57']"
99,5532,08180053-4854-4ff3-9141-045a6f6afcfc,2008-01-16,2019-10-09,1983.0,2019-09-23,0,1,[],0.0,150000.0,RUR,0,1,"[2, 3, 0]","[1, 0, 2]",3,168,0,Parnas,"[82, 272, 327]",{},"['12.34', '6.57']"
100,5048,081e3914-a020-4e36-b667-c0ce023883c7,2010-09-21,2021-09-09,1987.0,2021-09-06,1,1,[],0.0,48000.0,RUR,1,2,[0],[0],3,162,0,Prospekt Veteranov,[336],{},"['12.34', '9.57']"
101,4076,0830db03-0c24-472c-943b-12dfd9dec168,2014-10-20,2021-06-12,1984.0,2021-06-22,0,1,['B'],1.0,,,0,1,[0],[0],3,85,1,,"[81, 330, 451]","[2, 2036]","['12.34', '9.57']"
102,3674,08723f2e-0c3d-4c1a-9361-da5728404f7b,2013-10-23,2021-04-06,1987.0,2020-07-28,1,1,['B'],0.0,40000.0,RUR,1,1,[0],[0],3,128,0,Ulitsa Dybenko,"[264, 278, 332]",{},['12.34']
103,4901,088cf98b-7afb-4a33-8878-3462a3b1865c,2015-01-14,2020-07-25,1991.0,2021-08-31,0,1,[],0.0,42000.0,RUR,0,0,[0],[0],3,85,0,,"[256, 417, 520]",{},['12.34']
104,5432,08a346ca-d329-417b-8e88-ca3d6c4ddd2e,2014-01-07,2021-05-24,1984.0,2021-08-31,0,6,['B'],1.0,80000.0,RUR,0,1,[0],[0],3,110,0,Primorskaja,"[149, 196, 306]",{},"['12.34', '6.57']"
105,4899,08a97a9a-193d-4897-bc8e-5110c7f4f3ab,2015-08-25,2017-01-21,1990.0,,0,1,['B'],,65000.0,RUR,0,2,"[0, 2]",[0],2,61,2,,"[83, 287, 387]",[2],"['12.34', '6.57']"
106,4280,08c8d8a8-9afe-4e81-aab8-a3894fee49f5,2015-11-21,2018-06-15,1982.0,2018-06-16,1,1,[],,30000.0,RUR,0,2,"[0, 1, 2]","[0, 4]",2,73,0,Elektrosila,"[205, 429]",{},"['12.34', '6.57', '6.58']"
107,4980,08d9fa05-1372-45fc-a5b5-4e79e32c803c,2011-03-16,2017-06-12,1974.0,2017-06-14,1,1,{},,40000.0,RUR,1,2,[0],[0],3,143,0,Ladozhskaja,"[43, 335, 469]",{},"['12.34', '10.57', '6.59']"
108,4463,08f21398-12e1-456c-aeb7-01d118072f23,2015-10-08,2021-03-01,1976.0,2021-02-26,1,1,[],,,,0,0,[0],[0],3,146,1,,[261],[2],"['12.34', '6.57', '6.58']"
